,spost1,spost2,spost3,spost4,spost5,spost6,spost7,spost8,spost9,spost10,spost11,spost12,spost13,spost14,spost15,spost16,spost17,spost18,spost19,spost20,spost21,spost22,spost23,spost24,spost25,spost26,spost27,spost28,spost29,spost30,spost31,spost32,spost33,spost34,spost35,spost36,spost37,spost38,spost39,spost40,spost41,spost42,spost43,spost44,spost45,spost46,spost47,spost48,spost49,spost50,spost51,spost52,spost53,spost54,spost55
spre1,0,19.32,50.8125,22,68.8,72.324,73.15,79.58,46.05,44.955,43,46.89,61.9025,62.25,24,68.365125,47.8125,60.75,47.8,87.84,97.04,84.44,93.0225,20.703,77.8425,66.45,53.44,77.3775,88.12,92.47,87.1575,89.503,104.74,108.543,104.262,92.228,69.8825,93.853,86.37,157.608,133.82,156.688,138.6725,132.9,145.993,123.5525,87.702,87.153,88.5405,0,0,0,0,0,0
spre2,0,19.32,50.8125,22,68.8,72.324,73.15,79.58,46.05,44.955,43,46.89,61.9025,62.25,24,68.365125,47.8125,60.75,47.8,87.84,97.04,84.44,93.0225,20.703,77.8425,66.45,53.44,77.3775,88.12,92.47,87.1575,89.503,104.74,108.543,104.262,92.228,69.8825,93.853,86.37,157.608,133.82,156.688,138.6725,132.9,145.993,123.5525,87.702,87.153,88.5405,0,0,0,0,0,0
spre3,0,19.32,50.8125,22,68.8,72.324,73.15,79.58,46.05,44.955,43,46.89,61.9025,62.25,24,68.365125,47.8125,60.75,47.8,87.84,97.04,84.44,93.0225,20.703,77.8425,66.45,53.44,77.3775,88.12,92.47,87.1575,89.503,104.74,108.543,104.262,92.228,69.8825,93.853,86.37,157.608,133.82,156.688,138.6725,132.9,145.993,123.5525,87.702,87.153,88.5405,0,0,0,0,0,0
spre4,0,19.32,50.8125,22,68.8,72.324,73.15,79.58,46.05,44.955,43,46.89,61.9025,62.25,24,68.365125,47.8125,60.75,47.8,87.84,97.04,84.44,93.0225,20.703,77.8425,66.45,53.44,77.3775,88.12,92.47,87.1575,89.503,104.74,108.543,104.262,92.228,69.8825,93.853,86.37,157.608,133.82,156.688,138.6725,132.9,145.993,123.5525,87.702,87.153,88.5405,0,0,0,0,0,0
spre5,39.9375,59.2575,90.75,61.9375,108.7375,112.2615,113.0875,119.5175,85.9875,84.8925,82.9375,86.8275,101.84,102.1875,63.9375,108.302625,87.75,100.6875,87.7375,127.7775,136.9775,124.3775,132.96,60.6405,117.78,106.3875,93.3775,117.315,128.0575,132.4075,127.095,129.4405,144.6775,148.4805,144.1995,132.1655,109.82,133.7905,126.3075,197.5455,173.7575,196.6255,178.61,172.8375,185.9305,163.49,127.6395,127.0905,128.478,39.9375,39.9375,39.9375,39.9375,39.9375,39.9375
spre6,39.9375,59.2575,90.75,61.9375,108.7375,112.2615,113.0875,119.5175,85.9875,84.8925,82.9375,86.8275,101.84,102.1875,63.9375,108.302625,87.75,100.6875,87.7375,127.7775,136.9775,124.3775,132.96,60.6405,117.78,106.3875,93.3775,117.315,128.0575,132.4075,127.095,129.4405,144.6775,148.4805,144.1995,132.1655,109.82,133.7905,126.3075,197.5455,173.7575,196.6255,178.61,172.8375,185.9305,163.49,127.6395,127.0905,128.478,39.9375,39.9375,39.9375,39.9375,39.9375,39.9375
