Municipality,GMAverage,Pre-Sow-Herbicide,Post-Sow-Herbicide
Wilnsdorf   ,      622.82,spre6       ,spost23
Datteln     ,      290.51,spre3       ,spost1
Borken      ,      856.45,spre5       ,spost12
Bergkamen   ,      826.88,spre3       ,spost23
Oberhausen  ,      847.52,spre5       ,spost5
Wettringen  ,      264.20,spre5       ,spost1
Attendorn   ,      148.39,spre5       ,spost1
Herdecke    ,      234.71,spre3       ,spost1
Bergheim    ,      238.91,spre5       ,spost1
Much        ,      255.46,spre5       ,spost1
Eitorf      ,      220.48,spre5       ,spost1
Neuss       ,      271.77,spre3       ,spost1
MendenSauerl,      228.31,spre5       ,spost1
Wuelfrath   ,      855.21,spre5       ,spost5
Lippstadt   ,      906.72,spre3       ,spost12
Lichtenau   ,      570.63,spre5       ,spost12
Hallenberg  ,      530.44,spre3       ,spost12
Gevelsberg  ,      761.46,spre3       ,spost37
Havixbeck   ,      269.77,spre3       ,spost1
Petershagen ,      715.86,spre5       ,spost37
WertherWestf,      270.78,spre3       ,spost1
Kleve       ,      277.36,spre3       ,spost1
Verl        ,      234.04,spre5       ,spost1
HerzebrockCl,      218.87,spre5       ,spost1
Ibbenbueren ,      215.51,spre5       ,spost1
Erkrath     ,      915.51,spre3       ,spost53
Lennestadt  ,      596.98,spre5       ,spost22
OerErkenschw,      258.57,spre3       ,spost1
Huenxe      ,      267.28,spre3       ,spost1
Lienen      ,      217.72,spre5       ,spost1
Noervenich  ,      758.85,spre3       ,spost7
Erndtebrueck,      480.81,spre2       ,spost53
Marsberg    ,      542.25,spre6       ,spost33
Everswinkel ,      207.90,spre5       ,spost1
Euskirchen  ,      190.04,spre5       ,spost1
BadLippsprin,       79.26,spre3       ,spost1
Huertgenwald,      498.45,spre5       ,spost18
Plettenberg ,      155.85,spre5       ,spost1
Kalletal    ,      212.98,spre5       ,spost1
GronauWestf ,      836.60,spre5       ,spost36
Herten      ,      268.00,spre3       ,spost1
Doerentrup  ,      202.32,spre5       ,spost1
Welver      ,      862.14,spre3       ,spost52
Nideggen    ,      608.18,spre5       ,spost12
Geilenkirche,      822.32,spre5       ,spost12
Raesfeld    ,      802.39,spre3       ,spost7
Versmold    ,      260.13,spre5       ,spost1
Pulheim     ,      880.31,spre3       ,spost52
Laer        ,      226.61,spre5       ,spost1
Breckerfeld ,      654.31,spre6       ,spost12
Westerkappel,      250.06,spre5       ,spost1
Velbert     ,      259.50,spre5       ,spost1
SundernSauer,      578.16,spre4       ,spost16
Linnich     ,      249.55,spre5       ,spost1
Detmold     ,      193.64,spre5       ,spost1
Rosendahl   ,      158.20,spre5       ,spost1
Espelkamp   ,      679.68,spre5       ,spost14
BedburgHau  ,      280.33,spre3       ,spost1
Paderborn   ,      624.69,spre4       ,spost52
Beverungen  ,      178.46,spre5       ,spost1
SanktAugusti,      341.14,spre3       ,spost1
Niederzier  ,      188.00,spre3       ,spost1
Elsdorf     ,      197.32,spre3       ,spost1
Isselburg   ,      238.16,spre5       ,spost1
EmmerichamRh,      268.70,spre3       ,spost1
Wachtberg   ,      261.17,spre5       ,spost1
BadMuenstere,      604.47,spre4       ,spost53
Heiden      ,      235.56,spre3       ,spost1
Wiehl       ,      181.33,spre5       ,spost1
Netphen     ,      624.32,spre3       ,spost52
Huellhorst  ,      252.44,spre3       ,spost1
Bedburg     ,      249.59,spre5       ,spost1
Huerth      ,      807.73,spre5       ,spost21
Hilchenbach ,       48.25,spre5       ,spost1
Inden       ,      768.54,spre3       ,spost16
Schmallenber,        0.00,spre3       ,spost55
Schmallenber,        0.00,spre5       ,spost55
Hueckelhoven,      855.28,spre3       ,spost51
Ennigerloh  ,      658.21,spre6       ,spost12
Zuelpich    ,      599.94,spre4       ,spost53
Olfen       ,      285.21,spre3       ,spost1
Ense        ,      251.98,spre5       ,spost1
Nordwalde   ,      842.11,spre5       ,spost13
Warendorf   ,      213.12,spre5       ,spost1
Sendenhorst ,      186.07,spre3       ,spost1
Witten      ,      223.06,spre3       ,spost1
Willebadesse,      628.27,spre5       ,spost39
Grevenbroich,      263.19,spre5       ,spost1
Freudenberg ,      160.13,spre5       ,spost1
Stadtlohn   ,      249.97,spre5       ,spost1
Bueren      ,      512.79,spre5       ,spost18
Duelmen     ,      248.26,spre3       ,spost1
Rheinberg   ,      292.73,spre3       ,spost1
Morsbach    ,      727.27,spre5       ,spost14
BadSassendor,      308.93,spre3       ,spost1
Geldern     ,      282.94,spre3       ,spost1
Lage        ,      257.97,spre5       ,spost1
Burbach     ,      546.16,spre5       ,spost21
Guetersloh  ,      215.57,spre5       ,spost1
Schwelm     ,      243.42,spre5       ,spost1
Frechen     ,      840.61,spre3       ,spost52
Unna        ,      844.36,spre3       ,spost16
PreussischOl,      247.94,spre5       ,spost1
Anroechte   ,      663.55,spre3       ,spost53
BadOeynhause,      270.71,spre3       ,spost1
Saerbeck    ,      228.04,spre5       ,spost1
Blankenheim ,      505.34,spre5       ,spost3
Korschenbroi,      276.85,spre5       ,spost1
Kreuzau     ,      185.31,spre5       ,spost1
Bergneustadt,      559.08,spre4       ,spost52
Kirchhundem ,      487.83,spre6       ,spost33
Halver      ,      529.48,spre4       ,spost53
Arnsberg    ,      209.28,spre5       ,spost1
VoerdeNieder,      893.46,spre5       ,spost13
Langenberg  ,      295.02,spre5       ,spost1
Alpen       ,      273.60,spre3       ,spost1
Warburg     ,      600.72,spre5       ,spost5
Niederkruech,      277.42,spre5       ,spost1
Langerwehe  ,      165.93,spre5       ,spost1
Recklinghaus,      841.22,spre3       ,spost37
SchlossHolte,      161.27,spre5       ,spost1
Kreuztal    ,      612.17,spre6       ,spost28
Ennepetal   ,      605.10,spre2       ,spost23
Erwitte     ,      219.64,spre3       ,spost1
Selfkant    ,      296.55,spre5       ,spost1
BadBerleburg,      462.47,spre4       ,spost53
Schermbeck  ,      234.53,spre3       ,spost1
Luebbecke   ,      218.37,spre5       ,spost1
Sprockhoevel,      798.27,spre5       ,spost7
Meinerzhagen,      552.02,spre5       ,spost22
Hattingen   ,      842.36,spre3       ,spost53
Olsberg     ,      464.91,spre4       ,spost22
Kall        ,      448.27,spre5       ,spost18
