Agent,activity01,activity02,activity03,activity04,activity05,activity06,activity07,activity08,activity09,activity10,activity11,activity12,activity13,activity14,activity15,activity16,activity17,activity18,activity19,activity20,activity21,activity22,activity23,activity24,activity25,activity26,activity27,activity28,activity29,activity30,activity31,activity32,activity33,activity34,activity35,activity36,activity37,activity38,activity39,activity40,activity41,activity42,activity43,activity44,activity45,activity46,activity47,activity48,activity49,activity50,activity51,activity52,activity53,activity54,activity55,activity56,activity57,activity58,activity59,activity60,activity61,activity62,activity63,activity64,activity65,activity66,activity67,activity68,activity69,activity70,activity71,activity72
Marienmuenster           ,3.09,10.36,31.85,-29.5,26.46,-5.3,201.25,224.69,165.07,220.88,189.25,220.62,161.23,217,208.38,148.87,204.65,216.03,240.06,180.63,236.41,204.81,230.26,170.91,226.67,218.14,158.61,214.4,213.1,153.58,209.36,204.92,229.11,169.72,225.49,193.9,178.79,119.18,174.99,188.45,128.79,184.61,173.52,197.77,162.58,177.11,201.39,166.21,148.02,172.22,137.01,184.34,124.95,180.72,205.33,145.92,201.69,193.01,133.67,189.43,208.67,231.12,171.09,200.34,224.05,163.07,164.16,187.11,127.34,126.2,149.4,89.71
Mechernich               ,-56.34,-49.08,-32.6,-95.96,-39.41,-71.67,136.29,155.53,92.91,149.34,117.18,147.75,84.5,140.92,137.74,75.18,131.61,147.93,167.57,104.28,161.48,128.56,157.51,94.3,150.71,147.7,85.13,141.56,143.05,80.5,136.93,136.52,156.29,93.04,149.46,117.31,108.88,46.26,102.7,119.76,57.11,113.56,104.87,124.68,85.71,108.44,128.28,89.32,79.66,99.43,60.46,111.49,48.24,104.66,133,69.73,126.15,119.54,56.32,112.73,147.33,161.15,98.2,139.18,153.43,90.6,102.53,117.09,54.33,64.2,78.97,16.28
Meerbusch                ,34.54,48.92,64.73,2.4,53.19,21.4,257.87,274.5,212.6,263.36,231.6,267.88,206.04,256.79,258.73,196.87,247.62,267.05,286.07,224.21,274.97,243.21,276.64,214.81,265.56,270.05,208.19,258.95,266,204.15,254.9,257.13,276.32,214.48,265.23,233.48,230.78,168.89,219.64,243.83,181.94,232.7,225.67,244.89,202.06,227.77,246.96,204.13,199.73,218.9,176.06,231.65,169.81,220.56,253.86,192.02,242.77,239.33,177.5,228.25,259.22,276.79,214.71,254.49,270.42,208.41,219.71,235.94,173.98,182.37,198.81,136.88
Mettmann                 ,64.18,84.7,101.05,35.2,92.33,59.58,294.22,314.75,249.42,306.5,273.79,310.14,244.89,301.97,300.55,235.27,292.35,307.77,328.7,263.44,320.52,287.81,319.24,254.01,311.09,311.16,245.88,302.96,307.57,242.31,299.39,297.38,318.58,253.34,310.42,277.71,272.29,206.99,264.07,284.23,218.92,276,265.91,287.15,246.28,268,289.2,248.33,239.88,261.06,220.18,273.89,208.65,265.73,296.03,230.78,287.86,281.67,216.44,273.52,294.35,313.72,248.18,290.15,310.03,244.46,255.79,275.89,210.49,218.79,239.12,173.75
Moenchengladbach         ,26.03,38.23,55.56,-9.06,47.85,15.29,242.99,262.24,198.28,255.13,222.62,253.91,190.04,246.88,244.49,180.57,237.41,253.22,272.77,208.87,265.71,233.21,263.38,199.54,256.37,255.1,191.18,248.02,250.46,186.56,243.4,242.74,262.44,198.58,255.41,222.92,215.27,151.31,208.15,227.4,163.44,220.28,211.31,231.06,191.55,214.44,234.19,194.68,185.92,205.63,166.11,217.66,153.79,210.62,239.48,175.61,232.45,225.76,161.92,218.75,243.63,262.44,198.19,236.83,257.25,193.1,201.68,222.43,156.24,164.26,183.14,119.11
Nettetal                 ,-13.75,0.18,12.46,-48.68,1.97,-29.69,198.15,216.52,155.94,206.54,174.93,206.45,145.94,196.53,197.24,136.69,187.29,207.16,225.75,165.23,215.82,184.22,215.49,155,205.59,209.62,149.08,199.68,205.06,144.54,195.13,196.22,214.95,154.45,205.04,173.44,170.29,109.72,160.31,182.77,122.2,172.8,165.41,184.22,142.72,167.84,186.61,145.11,139.75,158.5,116.99,170.05,109.54,160.13,192.08,131.57,182.17,178.69,118.2,168.79,200.66,218.06,157.24,194.37,212.22,151.49,157.93,176.86,116.19,120.09,139.23,78.59
Nottuln                  ,-270.19,12.86,26.8,-39.78,17.43,-15.4,231.16,248.52,182.47,239.63,206.85,242.97,177,234.16,232.64,166.64,223.8,244.84,260.49,194.5,251.66,218.88,251.88,185.93,243.09,243.64,177.64,234.8,239.66,173.67,230.83,235.65,251.49,185.53,242.69,209.91,205.79,137.65,194.81,217.7,149.56,208.83,204.27,220.16,178.58,206.19,222.03,180.45,178.04,193.86,152.28,206.79,140.83,197.99,228.88,162.91,220.07,214.79,148.83,205.99,228.85,243.72,177.45,225.99,241.42,175.23,192.54,208.34,142.21,155.05,172.19,106.1
Ostbevern                ,-242.33,57.86,61.38,3.44,61.12,30.39,271.91,276.49,219.02,276.66,245.96,269.65,212.25,269.88,260.17,202.74,260.38,282.76,287.61,230.18,287.81,257.12,278.23,220.84,278.47,272.39,214.96,272.6,268.22,210.8,268.44,270.95,278.07,220.67,278.3,247.61,232.99,175.54,233.18,245.59,188.13,245.77,239.8,246.97,216.52,241.53,248.66,218.19,213.67,220.78,190.31,233.48,176.07,233.71,255.57,198.16,255.8,241.41,184.01,241.65,271.41,276.84,219.18,267.4,273.33,213.64,232.99,237.14,179.6,195.83,200.19,142.69
Radevormwald             ,-79.09,-75.6,-58.37,-119.62,-63.65,-95.42,107.62,127.5,62.98,118.79,87.15,114.23,54.06,109.84,107.94,43.47,99.27,118.91,135.02,74.82,130.61,98.99,124.03,63.91,119.68,119.66,55.21,111,110.76,50.52,106.31,106.61,122.81,62.65,118.43,86.81,80.93,16.41,72.22,91.89,27.34,83.16,76.04,92.34,56.38,79.33,95.66,59.7,50.46,66.71,30.72,77.83,17.66,73.44,99.23,39.04,94.82,87.09,26.98,82.74,116.82,135.48,74.73,107.58,126.66,66.04,70.23,89.59,29.08,31.44,51.01,-9.43
Ratingen                 ,45.69,64.2,80.53,14.99,72.06,39.35,270.18,290.75,225.75,282.78,250.12,285.56,220.66,277.67,275.34,210.39,267.41,282.68,303.51,238.58,295.59,262.94,294.71,229.82,286.84,286.71,221.77,278.79,282.99,218.07,275.08,273.05,294.05,229.15,286.17,253.52,247.22,182.13,239.15,259.81,194.72,251.74,241.77,262.83,222.3,243.79,264.81,224.27,215.59,236.58,196.04,249.35,184.44,241.46,271.34,206.43,263.45,257.41,192.52,249.53,273.5,290.69,225.47,268.73,286.43,221.3,234.05,252.09,187.02,194.77,215.14,150.11
Salzkotten               ,21.56,34.29,48.26,-18.22,38.98,6.16,241.22,256.8,190.77,247.94,215.15,249.07,183.11,240.27,239.88,173.89,231.05,251.57,267.41,201.42,258.59,225.8,257.61,191.65,248.81,251.58,185.59,242.75,247.13,181.15,238.31,241.5,257.5,191.53,248.69,215.91,212.31,146.29,203.46,224.57,158.55,215.72,210.09,226.13,184.55,212.24,228.25,186.66,184.17,200.16,158.57,212.84,146.87,204.03,234.93,168.96,226.12,220.55,154.6,211.75,243.81,259.21,193,237.63,254.59,188.45,202.6,219.86,153.77,165.08,182.55,114.38
Schleiden                ,-132.91,-135.35,-120.48,-181.21,-125.44,-157.04,37.76,54.8,-5.06,50.56,19.09,45.54,-14.13,41.45,34.99,-24.81,30.79,48.9,66.37,6.69,62.27,30.83,55.25,-4.35,51.21,45.74,-14.07,41.54,40.53,-19.25,36.35,36.39,53.94,-5.71,49.86,18.43,7.43,-52.45,3.17,18.71,-41.2,14.42,5.33,22.97,-12.51,9.19,26.88,-8.58,-19.68,-2.08,-37.57,9.04,-50.63,4.95,30.21,-29.48,26.1,17.92,-41.68,13.89,51.84,67.91,7.65,41.15,57.56,-2.55,2.84,19.49,-40.53,-36.6,-19.77,-79.71
Schwerte                 ,42.03,59.98,76.83,11.67,68.68,36.03,266.76,287.98,223.41,280.36,247.77,280.66,216.18,273.12,271,206.36,263.31,277.75,299.28,234.65,291.6,259.01,289.83,225.37,282.31,281.91,217.28,274.22,277.35,212.72,269.67,267.55,289.13,224.66,281.6,249.01,242.03,177.47,234.42,253.92,189.35,246.31,236.16,257.78,217.67,238.94,260.56,220.44,210.5,232.07,191.95,244.42,179.94,236.88,266.32,201.84,258.78,252.44,187.98,244.92,268.01,285.72,220.9,263,281.22,216.5,228.23,246.8,182.13,191.03,209.83,145.21
Selm                     ,39.31,59.07,72.59,9.25,60.17,28.27,270.78,287.07,224.05,274.94,243.06,279.16,216.06,266.95,271.05,208.06,258.95,281.33,297.84,234.85,285.74,253.86,287.31,224.21,275.1,282.24,219.24,270.14,277.71,214.72,265.62,270.86,287.49,224.4,275.29,243.41,243.75,180.74,231.64,256.27,193.26,244.16,239.12,255.78,211.7,241.25,257.88,213.8,213.44,230.06,185.97,242.93,179.84,230.73,265.26,202.16,253.05,249.98,187,237.89,273.84,286.97,223.83,269.73,283.3,220.2,235.06,248.9,185.84,195.51,211.64,148.6
Siegen                   ,9.45,15.77,38.3,-20.06,35.26,4.02,207.71,233.16,175.99,231.1,200.05,224.52,165.44,222.62,212.64,155.52,210.61,218.57,244.42,187.4,242.48,211.45,234.69,175.67,230.73,225.8,168.73,223.81,221.12,164.07,219.15,207.02,233.01,173.94,231.11,197.98,185.7,128.52,183.63,196.21,138.98,194.1,177.41,203.55,168.59,180.74,206.9,171.94,151.45,177.52,142.52,188.17,129.09,186.26,209.06,152.05,207.13,198.5,139.51,194.56,211.98,237.01,178.19,204.07,228.49,170.95,167.65,192.42,135.01,129.54,154.56,97.24
