,income_t-1,income_t-2,income_t-3,income_t-4,income_t-5,income_t-6
Guetersloh,978.45,999.72,1014.44,920.41,685.38,685.38
Schwelm,1097.12,1012.92,1113.79,938.38,754.75,754.75
Frechen,853.46,936.53,1075.07,1002.3,621.37,621.37
Unna,1218.48,1056.35,1095.44,991.7,743.79,743.79
PreussischOldendorf,1057.47,1088.73,1091.43,1004.14,791.68,791.68
Anroechte,834.36,876.54,951.42,827.18,575.1,575.1
BadOeynhausen,1120.46,1101.42,1122.1,986.7,792.16,792.16
Saerbeck,1017.06,1015.77,1083.94,948.55,701.89,701.89
Blankenheim,670.96,634.46,695.21,631.75,398.81,398.81
Korschenbroich,1011.79,991.55,1063.31,951.51,706.92,706.92
Kreuzau,832.16,813.03,846.3,846.61,539.58,539.58
Bergneustadt,859.34,779.09,792.59,731.08,476.52,476.52
Kirchhundem,982.45,819.43,830.71,741.96,597.08,597.08
Halver,984.38,780.78,820.55,698.45,516.31,516.31
Arnsberg,1092.24,1023.4,1053.53,924.45,700.87,700.87
VoerdeNiederrhein,1010.24,1038.43,947.83,959.47,693.93,693.93
Langenberg,1064.87,1067.27,1151.23,1007.16,730.85,730.85
Alpen,976.46,990.34,896.77,890.59,695.09,695.09
Warburg,852.52,921.79,849.31,783.79,613.65,613.65
Niederkruechten,887.25,1003.64,830.48,854.91,691.54,691.54
Langerwehe,813.76,778.12,830.19,831.34,556.42,556.42
Recklinghausen,1027.83,975.37,1053.69,975.09,661.19,661.19
SchlossHolteStukenbrock,874.44,948.09,998.86,850.11,699.39,699.39
Kreuztal,915.03,897.45,898.9,820.72,664.62,664.62
Ennepetal,924.94,857.57,937.6,797.48,604.71,604.71
Erwitte,996.55,992.13,1095.05,945.52,695.63,695.63
Selfkant,1057.86,1056.37,1005.04,978.28,710.22,710.22
BadBerleburg,978.74,761.37,769.36,687.22,530.8,530.8
Schermbeck,992.3,1007.86,997.79,953.35,678.01,678.01
Luebbecke,1040.87,1070.58,1084.99,971.8,779.03,779.03
Sprockhoevel,1119.35,1013.53,1101.57,937.95,698.11,698.11
Meinerzhagen,1075.03,838.33,869.22,740.97,582.64,582.64
Hattingen,1128.41,1021.02,1107.93,982.82,730.04,730.04
Olsberg,935.74,812.99,807.28,732.71,552.55,552.55
Kall,689.86,574.54,645.85,593.53,375.35,375.35
Blomberg,1065.73,1038.6,1120.22,926.9,789.23,789.23
BadLaasphe,1021.29,824.14,827.99,749.65,543.68,543.68
NeunkirchenSeelscheid,813.44,918.64,989.68,905.46,602.46,602.46
Schalksmuehle,1055.08,905.57,928.99,808.57,619.55,619.55
Dortmund,1145.19,1038.1,1081.1,990.27,703.7,703.7
Neunkirchen,1006.96,895.76,900.1,848.7,609.91,609.91
Boenen,1172.88,1079.48,1054.74,994.73,709.23,709.23
Rietberg,1126.04,1052.78,1159.98,997.71,754.53,754.53
KampLintfort,938.1,995.48,951.47,869.96,680.06,680.06
Kranenburg,1032.69,1009.93,983.66,949,728.02,728.02
Willich,1018.4,966.21,986.25,924.24,653.07,653.07
Drensteinfurt,961.1,969.61,880.76,841.73,474.68,474.68
Minden,1020.78,1047.79,1084.47,934.64,747.08,747.08
Moehnesee,987.87,993.03,1045.25,906.48,684.42,684.42
Hemer,1137.66,956.67,981.36,854.51,654.92,654.92
BadHonnef,872.99,882.19,844.62,856.79,520.46,520.46
Reichshof,890.13,849.07,846.75,790.57,567.08,567.08
Juelich,873.29,905.91,905.25,975.02,669.17,669.17
Borchen,522.88,706.11,754.87,647.12,468.03,468.03
Hiddenhausen,1059,1073.99,1139.97,968.95,734.98,734.98
Nuembrecht,894.38,969.22,1005.2,929.76,662.15,662.15
MonheimamRhein,758.22,769.36,902.7,824.16,560.24,560.24
NeukirchenVluyn,950.82,965.35,985.11,862.43,671.02,671.02
Rheinbach,871.32,878.2,908.09,914.53,482.59,482.59
HennefSieg,833.11,880.59,877.05,904.73,574.8,574.8
Swisttal,818.79,776.94,810.81,864.05,459,459
Lohmar,826.43,878.57,950.59,889.6,579.14,579.14
Weilerswist,813.36,748.8,756.97,840.8,505.49,505.49
Borgentreich,778.1,869.23,811.8,717.9,540.23,540.23
PortaWestfalica,1031.34,1049.03,1137.97,946.03,790.91,790.91
Merzenich,936.82,940.04,945.48,1012.06,663.02,663.02
Brilon,928.13,867.98,845.25,774.92,597.23,597.23
Kaarst,1008.82,989.25,1059.61,969.91,727.76,727.76
Marl,1045.21,1006.42,1083.28,991.3,652.68,652.68
Dorsten,1025.93,1005.22,1065.62,973.62,657.26,657.26
Oerlinghausen,966.07,967.3,1013.27,870.43,704.73,704.73
Grefrath,1018.37,1010.3,990.15,900.84,724.87,724.87
Nettersheim,679.54,608.39,637.31,594.45,363.72,363.72
Rhede,976.21,1001.45,965,943.33,699.72,699.72
Altena,1154.57,952.19,986.11,849.97,656.21,656.21
WetterRuhr,977.28,936.38,987.08,876.17,586.52,586.52
BadDriburg,885.32,876.94,916.9,796.7,637.35,637.35
Ruppichteroth,810.41,912.29,942.33,897.62,581.31,581.31
Siegburg,823.25,890.4,964.26,920.66,556.66,556.66
Hagen,1117.4,1009.78,1071.86,930.24,675.75,675.75
Herscheid,1134.11,900.52,947.29,780,655.37,655.37
Altenbeken,741.04,737.05,776.93,668.63,539.99,539.99
