,,,'Alopecurus myo','Digitaria isch','Echinochloa cr','Elymus repens','Poa annua L.','Setaria viridi','Amaranthus ret','Atriplex patul','Brassica napus','Capsella bursa','Chenopodium al','Cirsium arvens','Convolvulus ar','Equisetum arve','Fallopia convo','Fumaria offici','Galinsoga parv','Galium aparine','Geranium pusil','Lamium album L.','Matricaria rec','Mercurialis an','Persicaria lap','Persicaria mac','Polygonum avic','Rumex obtusifo','Solanum nigrum','Sonchus arvens','Stellaria medi','Thlaspi arvens','Veronica arven','Viola arvensis'
Nothing,WeatherBadLippspringe,tt1999,-497.4,48.5,-47.8,-469.4,-554.3,48.5,-63.7,-353,-768.8,-751.2,-751.2,-413.8,-359.5,-441.4,-413.8,-441.4,-164,-534,-359.5,-525.8,-663.2,-164,-258.5,-266.6,-611.3,-129.4,-126.9,-245,-413.8,-582.8,-576,-417.9
Nothing,WeatherBadLippspringe,tt2000,-587.5,17.2,-110.9,-559.2,-644.5,17.2,-126.2,-418,-839.3,-821.9,-821.9,-503.8,-449.8,-531.2,-503.8,-531.2,-229,-609.2,-449.8,-616,-735.5,-229,-323.5,-331.6,-701.5,-193.9,-191.2,-310,-503.8,-673,-650.7,-492.5
Nothing,WeatherBadLippspringe,tt2001,-469.4,27.1,-77.3,-441.7,-525.4,27.1,-91.2,-390,-679.4,-664,-664,-388.5,-338.8,-414.6,-388.5,-414.6,-194,-476.8,-338.8,-497.4,-588.1,-194,-292,-300.4,-581.4,-158.5,-155.8,-278,-388.5,-553.4,-513.4,-376.2
Nothing,WeatherBadLippspringe,tt2002,-468.3,34.9,-68.4,-440.8,-523.8,34.9,-83.4,-358.4,-725.5,-708.3,-708.3,-385.8,-331.9,-413.3,-385.8,-413.3,-176.4,-503.1,-331.9,-495.8,-622.5,-176.4,-267.4,-275.2,-579.8,-143.9,-141.4,-254.4,-385.8,-551.8,-541.6,-389.5
Nothing,WeatherBadLippspringe,tt2003,-466.2,68.4,-42.5,-441.2,-516.2,68.4,-55.7,-321.4,-729,-712.5,-712.5,-392.7,-345,-416.7,-392.7,-416.7,-146.4,-518.5,-345,-491.2,-632.2,-146.4,-233.9,-241.4,-567.5,-114.9,-112.6,-221.4,-392.7,-541.5,-555,-414.4
Nothing,WeatherBadLippspringe,tt2004,-434.5,33.7,-15.3,-406.5,-491.5,33.7,-22.8,-286.7,-652.9,-637.2,-637.2,-351.4,-299.9,-378.9,-351.4,-378.9,-98.1,-453.1,-299.9,-463,-560.8,-98.1,-192.2,-200.3,-548.5,-66.3,-64.2,-178.7,-351.4,-520,-488.1,-355.2
Nothing,WeatherBadLippspringe,tt2005,-351.3,136.8,-21.4,-328.3,-397.3,136.8,-25,-166.1,-590.5,-576.7,-576.7,-282.8,-237.8,-305.3,-282.8,-305.3,-58.3,-413.8,-237.8,-374.3,-509.5,-58.3,-110.1,-114.9,-443.3,-45.1,-44.2,-102.1,-282.8,-420.3,-445.4,-321
Nothing,WeatherBadLippspringe,tt2006,-292.2,137,-43.7,-272.9,-331.2,137,-50,-157.3,-437.7,-427.3,-427.3,-235.8,-200.9,-254.2,-235.8,-254.2,-87.3,-304.8,-200.9,-311.7,-376.9,-87.3,-122.3,-125.3,-370.7,-74.3,-73.4,-117.3,-235.8,-350.7,-328,-239.3
Nothing,WeatherBadLippspringe,tt2007,-285.4,270.8,5.7,-270.9,-314.4,270.8,5.7,5.7,-531.3,-519.3,-519.3,-241.9,-214.3,-256.4,-241.9,-256.4,5.7,-376.1,-214.3,-299.9,-460.4,5.7,5.7,5.7,-343.4,5.7,5.7,5.7,-241.9,-328.9,-404.1,-294.1
Nothing,WeatherBadLippspringe,tt2008,-236.4,238.1,-11.9,-218.4,-273,238.1,-14.7,-89.7,-428.4,-415.6,-415.6,-183.4,-151.4,-200.4,-183.4,-200.4,-40.7,-267.5,-151.4,-254.5,-353.1,-40.7,-65.2,-67.3,-310,-31.6,-30.9,-61.7,-183.4,-291.5,-295.4,-192.3
Nothing,WeatherBadLippspringe,tt2009,-344.4,220.4,-1.1,-327.4,-378.4,220.4,-2.5,-44.2,-530,-517,-517,-293.4,-259.4,-310.4,-293.4,-310.4,-16.2,-360.4,-259.4,-361.4,-452.4,-16.2,-30.2,-31.4,-412.4,-11,-10.6,-28.2,-293.4,-395.4,-390.8,-278
Nothing,WeatherBadLippspringe,tt2010,-229,109.3,-0.1,-212,-263,109.3,-0.8,-36,-439.5,-428.1,-428.1,-178,-144.8,-195,-178,-195,-8.3,-292.2,-144.8,-246,-372.5,-8.3,-22,-23.2,-297,-5.3,-5.1,-20,-178,-280,-318.5,-219
Nothing,WeatherBadLippspringe,tt2011,-301.5,254.7,0,-286.5,-331.5,254.7,0,0,-494.5,-482.7,-482.7,-256.5,-226.5,-271.5,-256.5,-271.5,0,-344.6,-226.5,-316.5,-425.7,0,0,0,-361.5,0,0,0,-256.5,-346.5,-371.3,-269.6
Nothing,WeatherBadLippspringe,tt2012,-222.2,232.6,-11.3,-206.2,-254.9,232.6,-13.4,-46.4,-500,-487.2,-487.2,-175.6,-146.4,-190.6,-175.6,-190.6,-25.4,-328.9,-146.4,-238.4,-423.2,-25.4,-35.9,-36.8,-287.9,-21.5,-21.2,-34.4,-175.6,-271.4,-360,-238.9
Nothing,WeatherBadLippspringe,tt2013,-263.5,129,-11,-248.3,-295.6,129,-15.2,-92.2,-358.6,-349.1,-349.1,-218.3,-188.6,-233.3,-218.3,-233.3,-43.2,-248.8,-188.6,-279.1,-305.8,-43.2,-67.7,-69.8,-330.1,-34.1,-33.4,-64.2,-218.3,-312.6,-267.1,-196.1
Nothing,WeatherBadLippspringe,tt2014,-302.2,188.6,-1.1,-284.7,-337.2,188.6,-1.8,-44.3,-580.1,-566.9,-566.9,-249.7,-215,-267.2,-249.7,-267.2,-10.4,-402.8,-215,-319.7,-500.9,-10.4,-26.8,-28.3,-372.2,-6.4,-6.2,-24.3,-249.7,-354.7,-435.3,-308.8
Nothing,WeatherBadLippspringe,tt2015,-264.4,132.5,-16.3,-245,-303.4,132.5,-20.5,-112.1,-478.6,-464.6,-464.6,-208.7,-174.8,-226.7,-208.7,-226.7,-50,-294,-174.8,-283.9,-394.6,-50,-80.6,-83.3,-342.4,-39.6,-38.8,-76.1,-208.7,-322.9,-325.6,-211.2
Nothing,WeatherBrilon,tt1999,-351.6,85.9,-14.5,-327.1,-401.5,85.9,-22.5,-248.3,-567.5,-551.1,-551.1,-281.1,-236.5,-303.7,-281.1,-303.7,-94.4,-368.2,-236.5,-376.5,-472.6,-94.4,-171.3,-177.9,-452.2,-69.3,-67.4,-160.3,-281.1,-426.5,-400.8,-277.9
Nothing,WeatherBrilon,tt2000,-419.8,61.6,-77.9,-398,-464.8,61.6,-89.1,-265.1,-601.7,-587.1,-587.1,-355,-316.5,-376.5,-355,-376.5,-153.1,-416.1,-316.5,-442.3,-516.1,-153.1,-209.1,-213.9,-510.6,-132.3,-130.7,-201.1,-355,-487.6,-448,-337.4
