,,,'Alopecurus myo','Digitaria isch','Echinochloa cr','Elymus repens','Poa annua L.','Setaria viridi','Amaranthus ret','Atriplex patul','Brassica napus','Capsella bursa','Chenopodium al','Cirsium arvens','Convolvulus ar','Equisetum arve','Fallopia convo','Fumaria offici','Galinsoga parv','Galium aparine','Geranium pusil','Lamium album L.','Matricaria rec','Mercurialis an','Persicaria lap','Persicaria mac','Polygonum avic','Rumex obtusifo','Solanum nigrum','Sonchus arvens','Stellaria medi','Thlaspi arvens','Veronica arven','Viola arvensis'
Nothing,WeatherGreven,tt2005,-258.9,207.5,-6.9,-243.4,-289.9,207.5,-7.6,-18.6,-493.6,-482.4,-482.4,-212.4,-182.1,-227.9,-212.4,-227.9,-11.6,-348.9,-182.1,-274.4,-427.8,-11.6,-15.1,-15.4,-320.9,-10.3,-10.2,-14.6,-212.4,-305.4,-374.5,-277
Nothing,WeatherGreven,tt2006,-222.8,242.4,-8.6,-206.3,-255.8,242.4,-10,-40.2,-370.8,-360.8,-360.8,-174.2,-143.3,-190.2,-174.2,-190.2,-19.2,-249.8,-143.3,-239.3,-314.8,-19.2,-29.7,-30.6,-288.8,-15.4,-15.2,-28.2,-174.2,-272.3,-270.9,-188.6
Nothing,WeatherGreven,tt2007,-341.5,246.2,-4.2,-325.5,-373.5,246.2,-5.6,-27.6,-605.5,-592.9,-592.9,-293.5,-261.5,-309.5,-293.5,-309.5,-13.6,-437.8,-261.5,-357.5,-530.1,-13.6,-20.6,-21.2,-405.5,-11,-10.8,-19.6,-293.5,-389.5,-468.3,-348.8
Nothing,WeatherGreven,tt2008,-202.9,282.2,-0.2,-186.4,-235.9,282.2,-0.9,-32.8,-407.3,-395.1,-395.1,-154.6,-126.1,-170.2,-154.6,-170.2,-11.8,-249.2,-126.1,-219.4,-334.9,-11.8,-22.3,-23.2,-268.9,-7.9,-7.6,-20.8,-154.6,-252.4,-276.8,-176.6
Nothing,WeatherGreven,tt2009,-313.9,258.7,6.6,-299.4,-342.9,258.7,6.6,6.6,-512.6,-500.6,-500.6,-270.4,-241.4,-284.9,-270.4,-284.9,6.6,-351.7,-241.4,-328.4,-440.6,6.6,6.6,6.6,-371.9,6.6,6.6,6.6,-270.4,-357.4,-380.6,-269.8
Nothing,WeatherGreven,tt2010,-204.1,151.2,7.2,-189.6,-233.1,151.2,7.2,7.2,-418.6,-408.2,-408.2,-160.6,-131.6,-175.1,-160.6,-175.1,7.2,-280.6,-131.6,-218.6,-356.2,7.2,7.2,7.2,-262.1,7.2,7.2,7.2,-160.6,-247.6,-305.6,-210.2
Nothing,WeatherGreven,tt2011,-239,299.7,37.8,-226.5,-264,299.7,37.8,37.8,-416.9,-406.7,-406.7,-201.5,-176.5,-214,-201.5,-214,37.8,-283,-97.4,-130.4,-355.7,37.8,37.8,37.8,-289,37.8,37.8,37.8,-201.5,-276.5,-306.4,-217.1
Nothing,WeatherGreven,tt2012,-157.4,305,19.3,-143.4,-185.4,305,19.3,19.3,-435.7,-423.9,-423.9,-115.4,-90.6,-129.4,-115.4,-129.4,19.3,-276.5,-90.6,-171.4,-364.9,19.3,19.3,19.3,-213.4,19.3,19.3,19.3,-115.4,-199.4,-305.9,-192.7
Nothing,WeatherGreven,tt2013,-263.6,137.8,-13.6,-247,-299.1,137.8,-17.9,-94.9,-372.3,-362.3,-362.3,-216.1,-186.1,-231.5,-216.1,-231.5,-45.9,-249.6,-186.1,-281.1,-313.7,-45.9,-70.4,-72.5,-335.9,-36.8,-36.1,-66.9,-216.1,-317.4,-269.1,-195
Nothing,WeatherGreven,tt2014,-296.3,212.2,-0.3,-280.8,-327.3,212.2,-1,-12,-577.4,-565,-565,-249.8,-218.8,-265.3,-249.8,-265.3,-5,-410.1,-218.8,-311.8,-503,-5,-8.5,-8.8,-358.3,-3.7,-3.6,-8,-249.8,-342.8,-441,-320.3
Nothing,WeatherGreven,tt2015,-287.3,139,-16.7,-267.8,-326.3,139,-21.5,-115.3,-514,-500,-500,-228.8,-190.6,-248.3,-228.8,-248.3,-52.3,-327.5,-190.6,-306.8,-430.7,-52.3,-83.8,-86.5,-365.3,-41.2,-40.4,-79.3,-228.8,-345.8,-361.7,-234.6
Nothing,WeatherKoelnBonn,tt1999,-333.5,205.7,-23.4,-314.5,-371.8,205.7,-29,-127.9,-606.3,-592.3,-592.3,-277.1,-240.9,-295.6,-277.1,-295.6,-64.9,-420.8,-240.9,-352.5,-522.5,-64.9,-96.4,-99.1,-410.8,-53.2,-52.3,-91.9,-277.1,-391.3,-454.2,-324.6
Nothing,WeatherKoelnBonn,tt2000,-349.9,234.5,-28.2,-331.9,-385.9,234.5,-32.4,-98.4,-595.5,-582.1,-582.1,-295.9,-259.9,-313.9,-295.9,-313.9,-56.4,-417.6,-259.9,-367.9,-515.5,-56.4,-77.4,-79.2,-421.9,-48.6,-48,-74.4,-295.9,-403.9,-449.5,-325.6
Nothing,WeatherKoelnBonn,tt2001,-380.2,145.6,-61.9,-358.1,-425.2,145.6,-71.5,-242.8,-626.3,-611.1,-611.1,-316.1,-275.4,-336.6,-316.1,-336.6,-130.8,-434.1,-275.4,-402.7,-536.5,-130.8,-186.8,-191.6,-470.9,-110,-108.5,-178.8,-316.1,-447.9,-466.5,-343.1
Nothing,WeatherKoelnBonn,tt2002,-333,181,-21.2,-312,-375,181,-26.2,-147.9,-606.1,-591.7,-591.7,-270,-228,-291,-270,-291,-63.9,-413.6,-228,-354,-519.7,-63.9,-105.9,-109.5,-417,-49.5,-48.5,-99.9,-270,-396,-448.4,-314.4
Nothing,WeatherKoelnBonn,tt2003,-310.7,213.5,-19.1,-294.7,-343.6,213.5,-23.3,-89.3,-596.1,-582.7,-582.7,-262.7,-231.7,-278.7,-262.7,-278.7,-47.3,-422.7,-231.7,-326.7,-517.2,-47.3,-68.3,-70.1,-379.2,-39.5,-38.9,-65.3,-262.7,-361.2,-454.2,-332.6
Nothing,WeatherKoelnBonn,tt2004,-353.7,131.5,-7.5,-332.7,-395.7,131.5,-12.1,-134.2,-584,-570.5,-570.5,-290.7,-249.7,-311.7,-290.7,-311.7,-50.2,-410,-249.7,-374.7,-504.2,-50.2,-92.2,-95.8,-437.7,-35.4,-34.4,-86.2,-290.7,-416.7,-440.6,-326.5
Nothing,WeatherKoelnBonn,tt2005,-559.5,25.8,-88.1,-530.5,-617.5,25.8,-99.2,-377.5,-868.7,-852.2,-852.2,-472.5,-415.1,-501.5,-472.5,-501.5,-182,-650.5,-415.1,-588.5,-770.7,-182,-279.5,-287.9,-675.5,-152,-149.9,-265.5,-472.5,-646.5,-690.5,-534.8
Nothing,WeatherKoelnBonn,tt2006,-309.8,177.8,-43.3,-291.3,-347.7,177.8,-48.2,-133,-482.6,-470.7,-470.7,-254.3,-217.9,-272.8,-254.3,-272.8,-77,-337.4,-217.9,-328.7,-413.1,-77,-105,-107.4,-385.7,-67.1,-66.4,-101,-254.3,-366.7,-361.6,-267.4
Nothing,WeatherKoelnBonn,tt2007,-376.4,261.3,-9.3,-359.9,-409.4,261.3,-11.4,-44.4,-651.7,-638.9,-638.9,-326.9,-293.9,-343.4,-326.9,-343.4,-23.4,-481.1,-293.9,-392.9,-575,-23.4,-33.9,-34.8,-442.4,-19.5,-19.2,-32.4,-326.9,-425.9,-512,-391.9
Nothing,WeatherKoelnBonn,tt2008,-350.8,205.1,-54.1,-329.8,-392.8,205.1,-61.1,-192.4,-579.9,-565.9,-565.9,-289.2,-251.2,-309,-289.2,-309,-108.4,-397.5,-251.2,-371.8,-497.5,-108.4,-150.4,-154,-434.8,-92.8,-91.6,-144.4,-289.2,-413.8,-430.4,-310.4
Nothing,WeatherKoelnBonn,tt2009,-362,239.1,-5.4,-345,-396,239.1,-7.5,-49.5,-583.9,-570.9,-570.9,-311,-277,-328,-311,-328,-21.5,-408.4,-277,-379,-505.9,-21.5,-35.5,-36.7,-430,-16.3,-15.9,-33.5,-311,-413,-440.9,-318.7
Nothing,WeatherKoelnBonn,tt2010,-296.8,132.1,-0.7,-276.8,-336.8,132.1,-1.4,-88.3,-540.2,-527.3,-527.3,-236.8,-196.8,-256.8,-236.8,-256.8,-20.1,-374.6,-196.8,-316.8,-465.1,-20.1,-53.3,-56.3,-376.8,-10.4,-9.9,-48.3,-236.8,-356.8,-404.6,-286.1
Nothing,WeatherKoelnBonn,tt2011,-339.7,282.9,-2.2,-324.2,-370.7,282.9,-2.9,-13.9,-590,-577.6,-577.6,-293.2,-262.2,-308.7,-293.2,-308.7,-6.9,-427.6,-262.2,-355.2,-516.6,-6.9,-10.4,-10.7,-401.7,-5.6,-5.5,-9.9,-293.2,-386.2,-456.4,-344.5
Nothing,WeatherKoelnBonn,tt2012,-237.2,258.7,-8.6,-220.7,-270.2,258.7,-10.7,-43.7,-542.5,-529.7,-529.7,-187.7,-155.9,-204.2,-187.7,-204.2,-22.7,-370,-155.9,-253.7,-465.7,-22.7,-33.2,-34.1,-303.2,-18.8,-18.5,-31.7,-187.7,-286.7,-401.7,-276.8
Nothing,WeatherKoelnBonn,tt2013,-248.1,169.8,-7,-233.5,-279.1,169.8,-9.1,-42.1,-373.7,-363.7,-363.7,-206,-179.5,-219.5,-206,-219.5,-21.1,-256.3,-179.5,-263.4,-316.2,-21.1,-31.6,-32.5,-311.8,-17.2,-16.9,-30.1,-206,-295.3,-274.8,-205.2
Nothing,WeatherKoelnBonn,tt2014,-407.6,160.9,-9.6,-386.6,-449.6,160.9,-14.5,-141.3,-726.5,-711.9,-711.9,-344.6,-302.6,-365.6,-344.6,-365.6,-57.3,-529.7,-302.6,-428.6,-638.9,-57.3,-99.3,-102.9,-491.6,-41.7,-40.5,-93.3,-344.6,-470.6,-565.9,-424.5
Nothing,WeatherKoelnBonn,tt2015,-317.4,163.9,-21.9,-297.9,-356.4,163.9,-26.8,-121.4,-555,-541,-541,-258.9,-220.6,-278.4,-258.9,-278.4,-58.4,-366,-220.6,-336.9,-471,-58.4,-89.9,-92.6,-395.4,-47.6,-46.8,-85.4,-258.9,-375.9,-401,-268.3
Harrowing,WeatherAachen,tt1999,-308.4,221,-17.2,-290.4,-344.4,221,-21.9,-98.9,-577.5,-563.9,-563.9,-254.8,-220.2,-272.4,-254.8,-272.4,-49.9,-398.1,-220.2,-326.4,-496.8,-49.9,-74.4,-76.5,-381,-40.8,-40.1,-70.9,-254.8,-362.5,-430.2,-307.1
Harrowing,WeatherAachen,tt2000,-330.1,229.8,-20.4,-312.1,-366.1,229.8,-24,-90,-565.8,-552.6,-552.6,-276.1,-241.2,-294.1,-276.1,-294.1,-48,-389,-241.2,-348.1,-486.6,-48,-69,-70.8,-402.1,-40.2,-39.6,-66,-276.1,-384.1,-420.9,-298.7
Harrowing,WeatherAachen,tt2001,-349.6,151,-6.4,-328.4,-393.6,151,-16.2,-106.4,-594.7,-579.7,-579.7,-287.1,-247.3,-307.6,-287.1,-307.6,-40.1,-410.2,-247.3,-371.6,-507.8,-40.1,-85.4,-87.2,-438.4,-34.9,-34.5,-82.4,-287.1,-415.9,-442,-318.5
Harrowing,WeatherAachen,tt2002,-358.1,149.8,-24.1,-335.6,-403.1,149.8,-31.1,-183.7,-642.3,-627.1,-627.1,-290.6,-245.6,-313.1,-290.6,-313.1,-79.1,-440.6,-245.6,-380.6,-551.7,-79.1,-131.2,-135.7,-448.1,-62.2,-60.9,-123.7,-290.6,-425.6,-477.6,-334.5
Harrowing,WeatherAachen,tt2003,-294.3,203.4,-16.9,-278.8,-326.8,203.4,-20.4,-75.4,-589.5,-576.5,-576.5,-248,-219.7,-263.3,-248,-263.3,-40.4,-418.5,-219.7,-310.1,-511.8,-40.4,-57.9,-59.4,-361,-33.9,-33.4,-55.4,-248,-343.8,-449.5,-330.1
Harrowing,WeatherAachen,tt2004,-370.9,120.2,-9.6,-348.4,-415.9,120.2,-14,-166.8,-611.3,-596.9,-596.9,-303.4,-260.1,-325.9,-303.4,-325.9,-61.8,-426.6,-260.1,-393.4,-525.7,-61.8,-114.3,-118.8,-460.9,-44,-42.7,-106.8,-303.4,-438.4,-458.5,-335.5
Harrowing,WeatherAachen,tt2005,-369.9,155,-23,-347.4,-414.9,155,-25.7,-166.4,-656.4,-642.4,-642.4,-302.5,-258.5,-324.9,-302.5,-324.9,-61.6,-472,-258.5,-392.4,-573.5,-61.6,-113.9,-118.4,-459.9,-45.9,-44.8,-106.4,-302.5,-437.4,-505.5,-378.3
Harrowing,WeatherAachen,tt2006,-351.8,137.8,-58.2,-331.3,-392.8,137.8,-65.2,-183.1,-526.9,-514.7,-514.7,-291,-251,-311,-291,-311,-106.1,-377,-251,-372.3,-456.9,-106.1,-144.6,-147.9,-433.8,-92.2,-91.2,-139.1,-291,-413.3,-403.3,-301.4
Harrowing,WeatherAachen,tt2007,-321.4,292.1,20.5,-307.4,-349.4,292.1,20.5,20.5,-585.6,-573.8,-573.8,-279.4,-251.4,-293.4,-279.4,-293.4,20.5,-427.9,-251.4,-335.4,-514.8,20.5,20.5,20.5,-377.4,20.5,20.5,20.5,-279.4,-363.4,-455.8,-346.9
Harrowing,WeatherAachen,tt2008,-320.8,211.8,-43.2,-300.8,-360.8,211.8,-49.1,-158.1,-534.8,-521.2,-521.2,-261.9,-224.4,-281.2,-261.9,-281.2,-88.1,-360.6,-224.4,-340.8,-454.6,-88.1,-123.1,-126.1,-400.8,-75.1,-74.1,-118.1,-261.9,-380.8,-390.5,-275.3
Harrowing,WeatherAachen,tt2009,-391.8,199.9,-11,-372.3,-430.8,199.9,-15.6,-111.9,-619.2,-605.2,-605.2,-333.3,-294.3,-352.8,-333.3,-352.8,-48.9,-430.4,-294.3,-411.3,-535.2,-48.9,-80.4,-83.1,-469.8,-37.2,-36.3,-75.9,-333.3,-450.3,-465.2,-332.1
Harrowing,WeatherAachen,tt2010,-305.9,115.5,-0.6,-283.4,-350.9,115.5,-1.3,-115.8,-556.7,-543,-543,-238.4,-193.8,-260.9,-238.4,-260.9,-18,-376.7,-193.8,-328.4,-475.1,-18,-63.3,-67.8,-395.9,-9.8,-9.2,-55.8,-238.4,-373.4,-409.2,-282.9
Harrowing,WeatherAachen,tt2011,-211.3,243.4,-0.5,-201.8,-230.3,243.4,-1.2,-29.7,-586.4,-573.8,-573.8,-182.8,-163.8,-192.3,-182.8,-192.3,-8.7,-423,-163.8,-220.8,-511.8,-8.7,-19.2,-20.1,-249.3,-5.1,-4.9,-17.7,-182.8,-239.8,-452,-337.7
Harrowing,WeatherAachen,tt2012,-229.9,204.5,-8.9,-210.9,-267.9,204.5,-11.7,-89.1,-529.9,-516.1,-516.1,-173.7,-139.2,-191.9,-173.7,-191.9,-33.8,-343.8,-139.2,-248.9,-447.1,-33.8,-61.1,-63.5,-305.9,-25.8,-25.2,-57.1,-173.7,-286.9,-378.1,-248.7
Harrowing,WeatherAachen,tt2013,-187.8,117.8,-5.6,-177.3,-208.8,117.8,-9.1,-64.1,-351.9,-342.8,-342.8,-156.3,-135.3,-166.8,-156.3,-166.8,-29.1,-242.4,-135.3,-198.3,-300.9,-29.1,-46.6,-48.1,-229.8,-22.6,-22.1,-44.1,-156.3,-219.3,-261.8,-189.3
Harrowing,WeatherAachen,tt2014,-289.1,187.5,-0.4,-272.6,-322.1,187.5,-1.1,-29.4,-584,-571.2,-571.2,-239.6,-206.6,-256.1,-239.6,-256.1,-8.4,-411.5,-206.6,-305.6,-507.2,-8.4,-18.9,-19.8,-355.1,-4.8,-4.6,-17.4,-239.6,-338.6,-443.2,-321.7
Harrowing,WeatherAachen,tt2015,-288.3,135,-13.8,-268.8,-327.3,135,-17.5,-111.8,-510.5,-496.5,-496.5,-229.8,-194,-249.3,-229.8,-249.3,-48.8,-322.9,-194,-307.8,-426.5,-48.8,-80.3,-83,-366.3,-37.8,-37,-75.8,-229.8,-346.8,-356.8,-235.7
Harrowing,WeatherBadLippspringe,tt1999,-497.4,48.5,7.2,-469.4,-554.3,48.5,-9.6,-188.1,-768.8,-751.2,-751.2,-413.8,-359.5,-441.4,-413.8,-441.4,-70.2,-534,-359.5,-525.8,-663.2,-70.2,-131,-129.8,-611.3,-49.6,-48.8,-120.2,-413.8,-582.8,-576,-417.9
Harrowing,WeatherBadLippspringe,tt2000,-587.5,17.2,-58,-559.2,-644.5,17.2,-71.3,-318.7,-839.3,-821.9,-821.9,-503.8,-449.8,-531.2,-503.8,-531.2,-159,-609.2,-449.8,-616,-735.5,-159,-245.2,-251.5,-701.5,-133,-131,-219,-503.8,-673,-650.7,-492.5
Harrowing,WeatherBadLippspringe,tt2001,-469.4,27.1,-77.3,-441.7,-525.4,27.1,-91.2,-390,-679.4,-664,-664,-388.5,-338.8,-414.6,-388.5,-414.6,-194,-476.8,-338.8,-497.4,-588.1,-194,-292,-300.4,-581.4,-158.5,-155.8,-278,-388.5,-553.4,-513.4,-376.2
Harrowing,WeatherBadLippspringe,tt2002,-468.3,34.9,-21.4,-440.8,-523.8,34.9,-31.3,-197.7,-725.5,-708.3,-708.3,-385.8,-331.9,-413.3,-385.8,-413.3,-94.1,-503.1,-331.9,-495.8,-622.5,-94.1,-152.2,-145.6,-579.8,-71.7,-70.7,-136,-385.8,-551.8,-541.6,-389.5
Harrowing,WeatherBadLippspringe,tt2003,-466.2,68.4,27.8,-441.2,-516.2,68.4,2.3,-182.2,-729,-712.5,-712.5,-392.7,-345,-416.7,-392.7,-416.7,-56.8,-518.5,-345,-491.2,-632.2,-56.8,-119.4,-123.6,-567.5,-34.4,-33.7,-112.4,-392.7,-541.5,-555,-414.4
Harrowing,WeatherBadLippspringe,tt2004,-434.5,33.7,105.9,-406.5,-491.5,33.7,91.5,-113.5,-652.9,-637.2,-637.2,-351.4,-299.9,-378.9,-351.4,-378.9,-2.9,-453.1,-299.9,-463,-560.8,-2.9,-65.6,-68.6,-548.5,27,27,-50.3,-351.4,-520,-488.1,-355.2
Harrowing,WeatherBadLippspringe,tt2005,-351.3,136.8,-21.4,-328.3,-397.3,136.8,-25,-166.1,-590.5,-576.7,-576.7,-282.8,-237.8,-305.3,-282.8,-305.3,-58.3,-413.8,-237.8,-374.3,-509.5,-58.3,-110.1,-114.9,-443.3,-45.1,-44.2,-102.1,-282.8,-420.3,-445.4,-321
Harrowing,WeatherBadLippspringe,tt2006,-292.2,137,-43.7,-272.9,-331.2,137,-50,-157.3,-437.7,-427.3,-427.3,-235.8,-200.9,-254.2,-235.8,-254.2,-87.3,-304.8,-200.9,-311.7,-376.9,-87.3,-122.3,-125.3,-370.7,-74.3,-73.4,-117.3,-235.8,-350.7,-328,-239.3
Harrowing,WeatherBadLippspringe,tt2007,-285.4,270.8,5.7,-270.9,-314.4,270.8,5.7,5.7,-531.3,-519.3,-519.3,-241.9,-214.3,-256.4,-241.9,-256.4,5.7,-376.1,-214.3,-299.9,-460.4,5.7,5.7,5.7,-343.4,5.7,5.7,5.7,-241.9,-328.9,-404.1,-294.1
Harrowing,WeatherBadLippspringe,tt2008,-236.4,238.1,-11.9,-218.4,-273,238.1,-14.7,-89.7,-428.4,-415.6,-415.6,-183.4,-151.4,-200.4,-183.4,-200.4,-40.7,-267.5,-151.4,-254.5,-353.1,-40.7,-65.2,-67.3,-310,-31.6,-30.9,-61.7,-183.4,-291.5,-295.4,-192.3
Harrowing,WeatherBadLippspringe,tt2009,-344.4,220.4,-1.1,-327.4,-378.4,220.4,-2.5,-44.2,-530,-517,-517,-293.4,-259.4,-310.4,-293.4,-310.4,-16.2,-360.4,-259.4,-361.4,-452.4,-16.2,-30.2,-31.4,-412.4,-11,-10.6,-28.2,-293.4,-395.4,-390.8,-278
Harrowing,WeatherBadLippspringe,tt2010,-229,109.3,-0.1,-212,-263,109.3,-0.8,-36,-439.5,-428.1,-428.1,-178,-144.8,-195,-178,-195,-8.3,-292.2,-144.8,-246,-372.5,-8.3,-22,-23.2,-297,-5.3,-5.1,-20,-178,-280,-318.5,-219
Harrowing,WeatherBadLippspringe,tt2011,-301.5,254.7,0,-286.5,-331.5,254.7,0,0,-494.5,-482.7,-482.7,-256.5,-226.5,-271.5,-256.5,-271.5,0,-344.6,-226.5,-316.5,-425.7,0,0,0,-361.5,0,0,0,-256.5,-346.5,-371.3,-269.6
Harrowing,WeatherBadLippspringe,tt2012,-222.2,232.6,-11.3,-206.2,-254.9,232.6,-13.4,-46.4,-500,-487.2,-487.2,-175.6,-146.4,-190.6,-175.6,-190.6,-25.4,-328.9,-146.4,-238.4,-423.2,-25.4,-35.9,-36.8,-287.9,-21.5,-21.2,-34.4,-175.6,-271.4,-360,-238.9
Harrowing,WeatherBadLippspringe,tt2013,-263.5,129,-11,-248.3,-295.6,129,-15.2,-92.2,-358.6,-349.1,-349.1,-218.3,-188.6,-233.3,-218.3,-233.3,-43.2,-248.8,-188.6,-279.1,-305.8,-43.2,-67.7,-69.8,-330.1,-34.1,-33.4,-64.2,-218.3,-312.6,-267.1,-196.1
Harrowing,WeatherBadLippspringe,tt2014,-302.2,188.6,-1.1,-284.7,-337.2,188.6,-1.8,-44.3,-580.1,-566.9,-566.9,-249.7,-215,-267.2,-249.7,-267.2,-10.4,-402.8,-215,-319.7,-500.9,-10.4,-26.8,-28.3,-372.2,-6.4,-6.2,-24.3,-249.7,-354.7,-435.3,-308.8
Harrowing,WeatherBadLippspringe,tt2015,-264.4,132.5,-16.3,-245,-303.4,132.5,-20.5,-112.1,-478.6,-464.6,-464.6,-208.7,-174.8,-226.7,-208.7,-226.7,-50,-294,-174.8,-283.9,-394.6,-50,-80.6,-83.3,-342.4,-39.6,-38.8,-76.1,-208.7,-322.9,-325.6,-211.2
Harrowing,WeatherBrilon,tt1999,-351.6,85.9,-14.5,-327.1,-401.5,85.9,-22.5,-248.3,-567.5,-551.1,-551.1,-281.1,-236.5,-303.7,-281.1,-303.7,-94.4,-368.2,-236.5,-376.5,-472.6,-94.4,-171.3,-177.9,-452.2,-69.3,-67.4,-160.3,-281.1,-426.5,-400.8,-277.9
Harrowing,WeatherBrilon,tt2000,-419.8,61.6,-77.9,-398,-464.8,61.6,-89.1,-265.1,-601.7,-587.1,-587.1,-355,-316.5,-376.5,-355,-376.5,-153.1,-416.1,-316.5,-442.3,-516.1,-153.1,-209.1,-213.9,-510.6,-132.3,-130.7,-201.1,-355,-487.6,-448,-337.4
Harrowing,WeatherBrilon,tt2001,-448.2,0,-3.2,-420.7,-505.4,-4.5,-15.5,-260.9,-635.3,-619.9,-619.9,-366.8,-315,-393.4,-366.8,-393.4,-100.5,-433.8,-315,-476.6,-543.1,-100.5,-187.4,-182.3,-564,-67.5,-66,-166.3,-366.8,-534.4,-469,-334.4
Harrowing,WeatherBrilon,tt2002,-343.7,46.1,-39.3,-318.2,-395.6,46.1,-49.5,-279.9,-552.4,-537,-537,-271.3,-229.8,-293.6,-271.3,-293.6,-121.3,-355.9,-229.8,-369.6,-461.6,-121.3,-199.4,-206.3,-447.8,-96.6,-94.7,-187.9,-271.3,-421.6,-389.9,-267.2
Harrowing,WeatherBrilon,tt2003,-304.1,113.9,-19.4,-285.6,-342.1,113.9,-23.8,-177.2,-513.7,-499.5,-499.5,-249.3,-214.2,-267.3,-249.3,-267.3,-68.3,-341.5,-214.2,-322.7,-432.2,-68.3,-121.2,-126,-382.9,-51.4,-50.1,-113.2,-249.3,-362.4,-371,-262.6
Harrowing,WeatherBrilon,tt2004,-280.8,70.7,-0.8,-260.3,-322.3,70.7,-3.2,-146.9,-447.1,-434.7,-434.7,-221,-183.3,-240.5,-221,-240.5,-39.1,-296.5,-183.3,-301.3,-376.2,-39.1,-90.9,-95.7,-367.6,-23.8,-22.7,-82.9,-221,-344.6,-322.3,-223.5
Harrowing,WeatherBrilon,tt2005,-445.4,6.2,-18.5,-416.4,-503.4,6.2,-19.9,-196.9,-674.9,-659.5,-659.5,-358.7,-305.9,-387.4,-358.7,-387.4,-57.3,-471.3,-305.9,-474.4,-583.8,-57.3,-122.9,-125.6,-562.1,-40.1,-39.8,-107.4,-358.7,-532.6,-508.8,-366.1
Harrowing,WeatherBrilon,tt2006,-332.5,39.9,92.7,-310.5,-379.2,39.9,69.5,-120.7,-474.4,-462.8,-462.8,-269,-229.5,-289.5,-269,-289.5,-39.5,-326.3,-229.5,-355.4,-405,-39.5,-77.4,-79.8,-427.2,-24.1,-23.6,-73.4,-269,-403.2,-351.3,-255.7
Harrowing,WeatherBrilon,tt2007,-317.8,164.1,-4.8,-299,-355.8,164.1,-8.1,-92.1,-521.2,-508.2,-508.2,-262.9,-227.4,-280.9,-262.9,-280.9,-36.1,-350.4,-227.4,-336.8,-444,-36.1,-64.1,-66.5,-393.8,-25.7,-24.9,-60.1,-262.9,-374.8,-380.5,-264.2
Harrowing,WeatherBrilon,tt2008,-273.3,118.3,83.4,-252.8,-315,118.3,61.6,-59.5,-431.1,-418.3,-418.3,-215.4,-181.8,-233.6,-215.4,-233.6,-15.2,-271.2,-181.8,-294,-357,-15.2,-45.5,-46.7,-358.7,-12.6,-5.3,-43.5,-215.4,-336.7,-298.8,-197
Harrowing,WeatherBrilon,tt2009,-364.8,134.6,-4,-343.3,-407.8,134.6,-7.5,-138.1,-517.1,-502.9,-502.9,-300.3,-257.3,-321.8,-300.3,-321.8,-47.3,-338.1,-257.3,-386.3,-433,-47.3,-92.6,-96.5,-450.8,-32.4,-31.3,-86.1,-300.3,-429.3,-368.5,-260.5
Harrowing,WeatherBrilon,tt2010,-287.7,31,-9.6,-261.4,-341.6,31,-12.4,-188.1,-499.8,-485.1,-485.1,-212.1,-166.5,-236.2,-212.1,-236.2,-40.2,-313.2,-166.5,-314.6,-414.2,-40.2,-104.6,-111.5,-395.6,-27.2,-26.3,-93.4,-212.1,-368.6,-345.9,-221
Harrowing,WeatherBrilon,tt2011,-265.2,144,-29.3,-251.2,-293.2,144,-34.2,-142.1,-563.6,-550,-550,-223.2,-196.4,-237.2,-223.2,-237.2,-64.7,-386.5,-196.4,-279.2,-483.2,-64.7,-100.1,-103.7,-321.2,-53.1,-52.4,-94.1,-223.2,-307.2,-417.6,-299.2
Harrowing,WeatherBrilon,tt2012,-253.8,140.3,-23.5,-233.8,-294.9,140.3,-29.1,-157,-504.7,-489.9,-489.9,-195.5,-159.9,-214.4,-195.5,-214.4,-64.1,-313.2,-159.9,-273.9,-416.8,-64.1,-108,-112.2,-337.7,-52.4,-51.5,-101,-195.5,-316,-346.4,-223.6
Harrowing,WeatherBrilon,tt2013,-299.3,44.8,-14.4,-280.3,-338.4,44.8,-20.1,-182.3,-391.1,-381.7,-381.7,-243.5,-207.6,-261.7,-243.5,-261.7,-70.8,-270.7,-207.6,-318.6,-335.3,-70.8,-126.3,-131.1,-378.4,-51.3,-49.8,-118.3,-243.5,-358.4,-291.8,-209.8
Harrowing,WeatherBrilon,tt2014,-312.2,116.3,157.9,-290.1,-357.2,116.3,134.3,-19.5,-576.8,-561.6,-561.6,-246.1,-202.7,-268.1,-246.1,-268.1,63,-378.2,-202.7,-334.7,-486.1,63,13.7,13.7,-402.2,70,70,22.8,-246.1,-379.7,-412.7,-279.2
Harrowing,WeatherBrilon,tt2015,-224.3,103.2,-8.6,-207.3,-259.5,103.2,-11.4,-99.9,-389.5,-375.9,-375.9,-174.5,-142.8,-190.8,-174.5,-190.8,-38,-231.5,-142.8,-241.8,-312.7,-38,-68.4,-71.1,-297.4,-27.7,-27,-63.9,-174.5,-277.9,-256.9,-162.5
Harrowing,WeatherDuesseldorf,tt1999,-303.3,237.7,-9.1,-285.3,-339.3,237.7,-13.2,-79.2,-580.2,-566.8,-566.8,-249.9,-215,-267.4,-249.9,-267.4,-37.2,-399.6,-215,-321.3,-499.8,-37.2,-58.2,-60,-375.3,-29.4,-28.8,-55.2,-249.9,-357.3,-432.8,-305.5
