year, name, alpha_plus, alpha_minus, lambda, phi_plus, phi_minus, k, strategy, fuzzy_action1, fuzzy_action2, fuzzy_action3, fuzzy_action4, fuzzy_action5, fuzzy_action6, lp_action1, lp_action2, lp_action3, income
1, Farm03, 0.2, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 40011.0, 
1, Farm04, 0.2, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 60585.0, 
1, Farm05, 0.2, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 44489.0, 
2, Farm01, 0.2, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 63752.0, 
2, Farm02, 0.2, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 53855.0, 
2, Farm03, 0.2, 0.2, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 63761.0, 
2, Farm04, 0.2, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 43965.0, 
2, Farm05, 0.2, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 78335.0, 
0, Farm01, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 53517.0, 
0, Farm02, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, eggplants, NA, NA, NA, NA, eggplants, NA, NA, 63970.0, 
0, Farm03, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 41329.0, 
0, Farm04, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 38240.0, 
0, Farm05, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 51720.0, 
1, Farm01, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 44446.0, 
1, Farm02, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 53581.0, 
1, Farm03, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 68550.0, 
1, Farm04, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 51480.0, 
1, Farm05, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 40077.0, 
2, Farm01, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 45680.0, 
2, Farm02, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 65819.0, 
2, Farm03, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 29231.0, 
2, Farm04, 0.4, 0.2, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 54669.0, 
